,0
0,0.13348549966048
1,0.01739019530296106
2,0.002677456935707431
3,0.0017282678194845175
4,0.0015979710347223282
5,0.0019209891940555619
6,0.0013592157790751774
7,0.0022789574696881853
8,0.00233663360967838
9,0.0030872756172566963
10,0.0031617368363094154
11,0.0030543929089382033
12,0.0023736333408467284
13,0.00288549098197634
14,0.0014989152162251333
15,0.001890799806246023
16,0.0023347547452051663
17,0.003190919703601884
18,0.0025037254538387782
19,0.0022908498247993015
20,0.002571718882156948
21,0.00307079004604072
22,0.001992820723142415
23,0.0019592871179252677
24,0.0018854005643246284
25,0.0022366061765202003
26,0.0017170281813544083
27,0.001729293238294041
28,0.0014123328405653943
29,0.0019477769950132465
