,0
0,0.012199010442385173
1,0.013238401291811848
2,0.012700377151464434
3,0.01313686525389948
4,0.012341310109387755
5,0.010779566221112697
6,0.010731609311486963
7,0.012808037392040644
8,0.01291640649787234
9,0.013192571757575757
10,0.012577209752902154
11,0.012321329521035599
12,0.013250433893952673
13,0.012862126403716216
14,0.012836183495762711
15,0.01159977693069307
16,0.010058410731075697
17,0.012709825544154752
18,0.012839204813028766
19,0.012993351583834911
20,0.013502813173796794
21,0.012572364014026402
22,0.012991888718454934
23,0.013275666507908611
24,0.012974639127350427
25,0.011730436200772201
26,0.01035415297946612
27,0.012802113043110736
28,0.012846429032094596
