,0
0,0.0009617838978566291
1,0.001060485031246155
2,0.0010086567876283026
3,0.0010750641401539272
4,0.0009950592390482538
5,0.0008812168215106926
6,0.0008934619664784227
7,0.0009916953063913235
8,0.0010422169119531338
9,0.0010806055525491047
10,0.001007726928550995
11,0.0009635284821762136
12,0.0010760210999662526
13,0.0010524681027385188
14,0.0010334055750891374
15,0.0009403599422109312
16,0.0008116064823471941
17,0.001011016581405796
18,0.001029184324238548
19,0.00103308478235905
20,0.001094872117743608
21,0.0010006739591534055
22,0.0010631537539660069
23,0.0011013178514754955
24,0.001034784417151739
25,0.000970008287901697
26,0.0008476615420618081
27,0.0010354036999966313
28,0.0011516319295298031
