,0
0,0.0009945712047840242
1,0.0009820382523093932
2,0.001588793826085802
3,0.0009761093214731967
4,0.0015349032855269203
5,0.0009801719438444238
6,0.001222303981705323
7,0.0015224871574657786
8,0.0009778484471214437
9,0.0022131162422385046
10,0.002092420419704206
11,0.0009825807386088304
12,0.00155596897642739
13,0.000976759715697257
14,0.0015188770120247244
15,0.001210937240415529
16,0.0009754587076766586
17,0.0015571610598430004
18,0.0013158712214911324
19,0.0022400957664142416
20,0.0009753796427648681
21,0.0015206852891483209
22,0.0009766989520858663
23,0.001603588321817592
24,0.000982512701411633
25,0.000977083783560192
26,0.0015230910930611678
27,0.0009866813089121605
28,0.0016650116657098363
